epoch,accuracy,loss,val_accuracy,val_loss
0,0.4887152910232544,1.5976519584655762,0.7109375,1.0409897565841675
1,0.7690972089767456,0.8552418947219849,0.8046875,0.7943516969680786
2,0.8645833134651184,0.5676259398460388,0.8515625,0.6384491920471191
3,0.9071180820465088,0.45314231514930725,0.8515625,0.5799758434295654
4,0.9314236044883728,0.34446921944618225,0.8984375,0.41827982664108276
5,0.9583333134651184,0.26857027411460876,0.8828125,0.49986839294433594
6,0.9635416865348816,0.23937183618545532,0.921875,0.4178151786327362
7,0.9722222089767456,0.20256918668746948,0.9296875,0.3604240119457245
8,0.9782986044883728,0.17847491800785065,0.9453125,0.2904764413833618
9,0.9869791865348816,0.14341634511947632,0.9453125,0.29684945940971375
10,0.9817708134651184,0.1514207422733307,0.9375,0.3111511766910553
11,0.9869791865348816,0.14040613174438477,0.9609375,0.27678799629211426
12,0.9913194179534912,0.10944802314043045,0.9375,0.318636953830719
13,0.9904513955116272,0.10724259167909622,0.9453125,0.2930954694747925
14,0.9947916865348816,0.09202533960342407,0.9609375,0.28119921684265137
15,0.9939236044883728,0.0843515694141388,0.9296875,0.29395759105682373
16,0.984375,0.12051713466644287,0.921875,0.37320876121520996
17,0.9947916865348816,0.08749998360872269,0.953125,0.2720101773738861
18,0.9973958134651184,0.08062995225191116,0.9375,0.24916888773441315
19,0.9878472089767456,0.11940836906433105,0.859375,0.5997647047042847
20,0.953125,0.2294970154762268,0.8984375,0.44167283177375793
21,0.9765625,0.16390568017959595,0.90625,0.3888256847858429
22,0.9947916865348816,0.10040071606636047,0.921875,0.3514423370361328
23,0.9991319179534912,0.07465789467096329,0.9375,0.30967360734939575
24,0.9991319179534912,0.060985106974840164,0.9453125,0.24359408020973206
25,1.0,0.053039051592350006,0.9453125,0.25066041946411133
26,1.0,0.049606453627347946,0.9453125,0.2286832630634308
27,1.0,0.04869803041219711,0.9453125,0.22864454984664917
28,1.0,0.045936569571495056,0.953125,0.22252905368804932
29,1.0,0.04322103038430214,0.9375,0.23647302389144897
